Classification,Cl,TDS,E.C,Na,T.H,NO3 ,Mg,RSC  meq  / L,Ca,SAR
4,130.0,564.48,882.0,74.85415728,279.9342105,47.3903,38.896,-1.630605909,48.0,1.945181368
4,130.0,766.72,1198.0,111.089953,359.9095395,60.89875,53.482,-0.382069631,56.0,2.545952332
3,30.0,478.08,747.0,52.41760271,259.9588816,15.5015,24.31,0.995932013,64.0,1.413503828
3,30.0,203.52,318.0,26.43778932,99.98355263,3.9861,9.724,0.029886211,24.0,1.149563641
3,20.0,366.08,572.0,20.88274977,239.9588816,133.7558,24.31,-2.024202948,56.0,0.586126604
4,120.0,551.04,861.0,70.29350433,279.9342105,50.0477,38.896,-1.641021822,48.0,1.826666947
3,20.0,245.12,383.0,13.96250217,159.9671053,3.9861,19.448,-0.202610279,32.0,0.479976611
4,210.0,645.76,1009.0,179.0,200.0,34.82804545,5.0,-0.4,80.0,5.503135384
3,30.0,464.64,726.0,116.0,139.9753289,64.42181818,14.586,2.600493421,32.0,4.262892735
4,360.0,1292.16,2019.0,199.0,619.8273026,41.87418182,102.102,-4.196546053,80.0,3.475280705
4,230.0,995.84,1556.0,136.0,439.9013158,102.6722727,58.344,-3.198026316,80.0,2.819249044
4,130.0,577.92,903.0,132.0,239.9588816,52.34272727,24.31,-0.399177632,56.0,3.704910155
4,40.0,633.6,990.0,82.12910913,319.9506579,65.9921,29.172,1.00133621,80.0,1.996309035
4,260.0,872.32,1363.0,85.40600488,499.9259868,41.85405,43.758,-4.887025039,128.0,1.660763206
